Model_ID,Title,Sef_Url,Meta_Title,Meta_Keywords,Meta_Description,Meta_Canonical_URL
1,iPhone X,iphone-repair-service-phoenix-az,"iphone x repair store Phoenix AZ | screen, battery, Ear Speaker, Camera","iphone x repair store  phoenix az, iphone x battery replacement phoenix az, iphone x screen repair phoenix az, iphone x Ear Speaker replacement phoenix az, iphone x charging port replacement phoenix az, iphone x Back Glass Repair phoenix az","Looking for an iPhone x Repair store in Phoenix Az? If you have any problems with the battery replacement, Screen Repair etc. bring your iPhone x to us.",https://repairmytek.com/iphone-repair-service-phoenix-az/iphone-x-1
20,iPhone 8 Plus,iphone-repair-service-phoenix-az,"iphone 8 Plus repair store Phoenix AZ | Battery, Screen, Charging port","iphone 8 plus repair store phoenix az, iphone 8 plus battery replacement phoenix az, iphone 8 plus screen repair phoenix az, iphone 8 plus charging port replacement phoenix az, iphone 8 plus Back Glass Repair phoenix az, iphone 8 plus repair phoenix az, ","Looking for an iPhone 8 Plus Repair store in Phoenix Az? If you have any problems with the Battery & Camera, Screen repair etc. bring your iPhone 8+ to us.",https://repairmytek.com/iphone-repair-service-phoenix-az/iphone-8-plus-20
